,accuracy
309,80.17241358757019
310,88.79310488700867
311,76.7241358757019
312,79.31034564971924
313,81.8965494632721
314,81.03448152542114
315,87.93103694915771
316,72.41379022598267
317,75.86206793785095
318,86.20689511299133
319,83.62069129943848
320,77.58620977401733
321,81.8965494632721
322,79.31034564971924
323,81.8965494632721
324,77.58620977401733
325,74.13793206214905
326,79.31034564971924
327,83.62069129943848
328,82.75862336158752
329,77.58620977401733
330,84.48275923728943
331,76.7241358757019
332,85.34482717514038
333,81.03448152542114
334,85.34482717514038
335,79.31034564971924
336,74.13793206214905
337,82.75862336158752
338,76.7241358757019
339,81.03448152542114
340,79.31034564971924
341,79.31034564971924
342,75.0
343,81.03448152542114
344,80.17241358757019
345,85.34482717514038
346,81.8965494632721
347,85.34482717514038
348,84.48275923728943
349,79.31034564971924
350,85.34482717514038
351,82.75862336158752
352,78.44827771186829
353,87.06896305084229
354,78.44827771186829
355,85.34482717514038
356,84.48275923728943
357,88.79310488700867
358,88.79310488700867
359,79.31034564971924
360,85.34482717514038
361,80.17241358757019
362,80.17241358757019
363,85.34482717514038
364,75.0
365,80.17241358757019
366,85.34482717514038
367,86.20689511299133
368,78.44827771186829
369,44.82758641242981
370,77.58620977401733
371,84.48275923728943
372,76.7241358757019
373,77.58620977401733
374,79.31034564971924
375,82.75862336158752
376,84.48275923728943
377,76.7241358757019
378,84.48275923728943
379,75.86206793785095
380,81.03448152542114
381,81.8965494632721
382,87.06896305084229
383,80.17241358757019
384,85.34482717514038
385,79.31034564971924
386,89.65517282485962
387,80.17241358757019
388,88.79310488700867
389,78.44827771186829
390,82.75862336158752
391,80.17241358757019
392,81.03448152542114
393,82.75862336158752
394,80.17241358757019
395,78.44827771186829
396,70.68965435028076
397,81.03448152542114
398,80.17241358757019
399,78.44827771186829
400,80.17241358757019
401,87.93103694915771
402,85.34482717514038
403,76.7241358757019
404,78.44827771186829
405,81.03448152542114
406,80.17241358757019
407,85.34482717514038
408,86.20689511299133
409,83.62069129943848
410,82.75862336158752
411,81.03448152542114
412,76.7241358757019
413,80.17241358757019
414,78.44827771186829
415,81.03448152542114
416,75.0
417,84.48275923728943
418,84.48275923728943
419,85.34482717514038
420,79.31034564971924
421,81.8965494632721
422,88.79310488700867
423,71.55172228813171
424,83.62069129943848
425,81.03448152542114
426,89.65517282485962
427,44.82758641242981
428,75.86206793785095
429,80.17241358757019
430,85.34482717514038
431,82.75862336158752
432,81.03448152542114
433,82.75862336158752
434,82.75862336158752
435,83.62069129943848
436,82.75862336158752
437,75.0
438,78.44827771186829
439,82.75862336158752
440,78.44827771186829
441,86.20689511299133
442,81.8965494632721
443,74.13793206214905
444,74.13793206214905
445,82.75862336158752
446,87.93103694915771
447,80.17241358757019
448,82.75862336158752
449,79.31034564971924
450,86.20689511299133
451,74.13793206214905
452,77.58620977401733
453,78.44827771186829
454,84.48275923728943
455,89.65517282485962
456,81.03448152542114
457,81.03448152542114
458,78.44827771186829
459,84.48275923728943
460,75.0
461,77.58620977401733
462,83.62069129943848
463,76.7241358757019
464,79.31034564971924
465,84.48275923728943
466,70.68965435028076
467,76.7241358757019
468,88.79310488700867
469,81.8965494632721
470,87.06896305084229
471,79.31034564971924
472,83.62069129943848
473,76.7241358757019
474,87.93103694915771
475,77.58620977401733
476,87.06896305084229
477,76.7241358757019
478,83.62069129943848
479,75.86206793785095
480,83.62069129943848
481,76.7241358757019
482,77.58620977401733
483,89.65517282485962
484,77.58620977401733
485,77.58620977401733
486,85.34482717514038
487,76.7241358757019
488,79.31034564971924
489,81.8965494632721
490,78.44827771186829
491,75.0
492,81.03448152542114
493,81.03448152542114
494,75.0
495,87.93103694915771
496,72.41379022598267
497,88.79310488700867
498,76.7241358757019
499,85.34482717514038
500,81.03448152542114
501,82.75862336158752
502,80.17241358757019
503,85.34482717514038
504,76.7241358757019
505,77.58620977401733
506,73.2758641242981
507,85.34482717514038
508,81.8965494632721
509,77.58620977401733
510,85.34482717514038
511,84.48275923728943
512,79.31034564971924
513,81.8965494632721
514,87.06896305084229
515,87.06896305084229
516,82.75862336158752
517,79.31034564971924
518,88.79310488700867
519,86.20689511299133
520,44.82758641242981
521,82.75862336158752
522,81.03448152542114
523,75.0
524,83.62069129943848
525,90.51724076271057
526,81.8965494632721
527,85.34482717514038
528,76.7241358757019
529,75.86206793785095
530,80.17241358757019
531,86.20689511299133
532,81.03448152542114
533,81.8965494632721
534,80.17241358757019
535,81.8965494632721
536,84.48275923728943
537,72.41379022598267
538,87.06896305084229
539,83.62069129943848
540,81.03448152542114
541,80.17241358757019
542,77.58620977401733
543,78.44827771186829
544,75.0
545,76.7241358757019
546,76.7241358757019
547,81.8965494632721
548,81.8965494632721
549,81.03448152542114
550,79.31034564971924
551,81.03448152542114
552,78.44827771186829
553,78.44827771186829
554,77.58620977401733
555,81.8965494632721
556,81.03448152542114
557,77.58620977401733
558,79.31034564971924
559,86.20689511299133
560,86.20689511299133
561,84.48275923728943
562,81.03448152542114
563,81.8965494632721
564,86.20689511299133
565,81.8965494632721
566,90.51724076271057
567,91.37930870056152
