,accuracy
277,88.79310488700867
278,77.58620977401733
279,80.17241358757019
280,78.44827771186829
281,77.58620977401733
282,92.24137663841248
283,79.31034564971924
284,84.48275923728943
285,78.44827771186829
286,87.93103694915771
287,44.82758641242981
288,89.65517282485962
289,81.03448152542114
290,76.7241358757019
291,80.17241358757019
292,76.7241358757019
293,76.7241358757019
294,77.58620977401733
295,81.8965494632721
296,76.7241358757019
297,81.03448152542114
298,81.03448152542114
299,79.31034564971924
300,79.31034564971924
301,81.8965494632721
302,81.03448152542114
303,86.20689511299133
304,88.79310488700867
305,81.03448152542114
306,81.8965494632721
307,78.44827771186829
308,81.03448152542114
309,77.58620977401733
310,83.62069129943848
311,80.17241358757019
312,79.31034564971924
313,93.1034505367279
314,79.31034564971924
315,81.03448152542114
316,83.62069129943848
317,78.44827771186829
318,87.06896305084229
319,82.75862336158752
320,80.17241358757019
321,79.31034564971924
322,85.34482717514038
323,91.37930870056152
324,79.31034564971924
325,80.17241358757019
326,80.17241358757019
327,79.31034564971924
328,77.58620977401733
329,85.34482717514038
330,77.58620977401733
331,80.17241358757019
332,90.51724076271057
333,81.03448152542114
334,90.51724076271057
335,81.8965494632721
336,78.44827771186829
337,87.93103694915771
338,80.17241358757019
339,79.31034564971924
340,81.8965494632721
341,80.17241358757019
342,79.31034564971924
343,85.34482717514038
344,93.96551847457886
345,80.17241358757019
346,79.31034564971924
347,81.8965494632721
348,80.17241358757019
349,81.03448152542114
350,84.48275923728943
351,77.58620977401733
352,82.75862336158752
353,90.51724076271057
354,81.8965494632721
355,81.8965494632721
356,76.7241358757019
357,81.03448152542114
358,77.58620977401733
359,84.48275923728943
360,86.20689511299133
361,83.62069129943848
362,77.58620977401733
363,81.03448152542114
364,81.03448152542114
365,87.06896305084229
366,79.31034564971924
367,76.7241358757019
368,76.7241358757019
369,78.44827771186829
370,80.17241358757019
371,87.93103694915771
372,87.06896305084229
373,87.93103694915771
374,88.79310488700867
375,78.44827771186829
376,79.31034564971924
377,82.75862336158752
378,81.03448152542114
379,79.31034564971924
380,74.13793206214905
381,80.17241358757019
382,78.44827771186829
383,85.34482717514038
384,87.06896305084229
385,87.93103694915771
386,82.75862336158752
387,81.8965494632721
388,79.31034564971924
389,81.03448152542114
390,81.03448152542114
391,80.17241358757019
392,78.44827771186829
393,87.93103694915771
394,79.31034564971924
395,78.44827771186829
396,78.44827771186829
397,86.20689511299133
398,78.44827771186829
399,85.34482717514038
400,81.03448152542114
401,83.62069129943848
402,78.44827771186829
403,79.31034564971924
404,77.58620977401733
405,85.34482717514038
406,87.06896305084229
407,87.93103694915771
408,87.93103694915771
409,79.31034564971924
410,87.06896305084229
411,81.03448152542114
412,79.31034564971924
413,76.7241358757019
414,81.8965494632721
415,86.20689511299133
416,81.03448152542114
417,84.48275923728943
418,83.62069129943848
419,91.37930870056152
420,86.20689511299133
421,78.44827771186829
422,79.31034564971924
423,87.93103694915771
424,79.31034564971924
425,85.34482717514038
426,77.58620977401733
427,75.86206793785095
428,82.75862336158752
429,79.31034564971924
430,76.7241358757019
431,87.06896305084229
432,84.48275923728943
433,82.75862336158752
434,78.44827771186829
435,89.65517282485962
436,87.06896305084229
437,78.44827771186829
438,81.8965494632721
439,87.93103694915771
440,79.31034564971924
441,85.34482717514038
442,77.58620977401733
443,78.44827771186829
444,79.31034564971924
445,82.75862336158752
446,80.17241358757019
447,75.86206793785095
448,77.58620977401733
449,88.79310488700867
450,78.44827771186829
451,78.44827771186829
452,81.8965494632721
453,80.17241358757019
454,86.20689511299133
455,78.44827771186829
456,85.34482717514038
457,77.58620977401733
458,78.44827771186829
459,78.44827771186829
460,88.79310488700867
461,82.75862336158752
462,80.17241358757019
463,77.58620977401733
464,87.93103694915771
465,92.24137663841248
466,81.03448152542114
467,79.31034564971924
468,88.79310488700867
469,81.03448152542114
470,86.20689511299133
471,78.44827771186829
472,75.86206793785095
473,78.44827771186829
474,89.65517282485962
475,78.44827771186829
476,81.03448152542114
477,80.17241358757019
478,80.17241358757019
479,87.06896305084229
480,87.93103694915771
481,78.44827771186829
482,93.1034505367279
483,78.44827771186829
484,76.7241358757019
485,78.44827771186829
486,76.7241358757019
487,89.65517282485962
488,87.06896305084229
489,81.03448152542114
490,79.31034564971924
491,87.93103694915771
